Log,Date,Start Time
FirstLog,9/7/2017,10:12
FirstLog,9/8/2017,7:15
LuisLog,9/8/2017,9:56
FirstLog,9/9/2017,9:15
LuisLog,9/9/2017,9:18
CRLog,9/10/2017,10:40
FalseLog,9/10/2017,9:59
FirstLog,9/10/2017,9:25
LuisLog,9/10/2017,10:07
CRLog,9/12/2017,8:00
FalseLog,9/12/2017,8:05
FirstLog,9/12/2017,7:57
LuisLog,9/12/2017,7:57
CRLog,9/13/2017,7:55
FalseLog,9/13/2017,8:08
FirstLog,9/13/2017,8:13
LuisLog,9/13/2017,8:02
CRLog,9/16/2017,8:04
FalseLog,9/16/2017,8:09
FirstLog,9/16/2017,8:14
LuisLog,9/16/2017,8:05
CRLog,9/17/2017,7:52
FalseLog,9/17/2017,8:26
FirstLog,9/17/2017,8:31
LuisLog,9/17/2017,8:17
BareLog,9/18/2017,7:21
CRLog,9/18/2017,7:29
FalseLog,9/18/2017,7:29
FirstLog,9/18/2017,7:33
LuisLog,9/18/2017,7:26
BareLog,9/19/2017,7:21
CRLog,9/19/2017,7:59
FalseLog,9/19/2017,7:29
FirstLog,9/19/2017,7:33
LuisLog,9/19/2017,7:26
BareLog,9/20/2017,7:39
CRLog,9/20/2017,7:24
FalseLog,9/20/2017,7:48
FirstLog,9/20/2017,7:57
LuisLog,9/20/2017,7:44
BareLog,9/21/2017,8:40
CRLog,9/21/2017,8:54
FalseLog,9/21/2017,8:32
FirstLog,9/21/2017,8:27
LuisLog,9/21/2017,8:37
BareLog,9/22/2017,9:50
CRLog,9/22/2017,9:58
FalseLog,9/22/2017,9:44
FirstLog,9/22/2017,9:39
LuisLog,9/22/2017,9:47
BareLog,9/23/2017,7:37
CRLog,9/23/2017,7:25
FalseLog,9/23/2017,7:27
FirstLog,9/23/2017,7:30
LuisLog,9/23/2017,7:24
BareLog,9/24/2017,7:50
CRLog,9/24/2017,7:30
FalseLog,9/24/2017,7:40
FirstLog,9/24/2017,7:36
LuisLog,9/24/2017,7:43
BareLog,9/25/2017,8:26
CRLog,9/25/2017,8:35
FalseLog,9/25/2017,8:19
FirstLog,9/25/2017,8:14
LuisLog,9/25/2017,8:22
BareLog,9/26/2017,7:25
CRLog,9/26/2017,7:45
FalseLog,9/26/2017,7:35
FirstLog,9/26/2017,7:31
LuisLog,9/26/2017,7:30
BareLog,9/27/2017,7:41
CRLog,9/27/2017,7;51
FalseLog,9/27/2017,7:30
FirstLog,9/27/2017,7:33
LuisLog,9/27/2017,7:20
UnkNearFalse,9/27/2017,8:10
BareLog,9/28/2017,7:48
CRLog,9/28/2017,7:28
FirstLog,9/28/2017,8:03
LuisLog,9/28/2017,7:59
UnkNearFalse,9/28/2017,7:55
BareLog,9/29/2017,7:48
CRLog,9/29/2017,7:56
FirstLog,9/29/2017,8:18
UnkNearFalse,9/29/2017,7:38
LuisLog,9/29/2017,7:41
LuisLog,9/30/2017,7:33
BareLog,9/30/2017,7:40
CRLog,9/30/2017,7:54
FalseLog,9/30/2017,8:26
FirstLog,9/30/2017,8:34
FirstLog,10/1/2017,7:44
FalseLog,10/1/2017,7:52
BareLog,10/1/2017,8:02
CRLog,10/1/2017,8:12
FirstLog,10/2/2017,7:26
FalseLog,10/2/2017,7:31
LuisLog,10/2/2017,7:34
BareLog,10/2/2017,7:42
CRLog,10/2/2017,7:51
FalseLog,10/3/2017,8:15
LuisLog,10/3/2017,8:20
BareLog,10/3/2017,8:24
CRLog,10/3/2017,8:35
FirstLog,10/3/2017,8:49
FirstLog,10/4/2017,8:44
FalseLog,10/4/2017,8:50
LuisLog,10/4/2017,8:54
BareLog,10/4/2017,8:58
CRLog,10/4/2017,9:12
FirstLog,10/5/2017,7:44
FalseLog,10/5/2017,7:48
CRLog,10/5/2017,8:00
LuisLog,10/5/2017,7:50
BareLog,10/5/2017,7:55
FirstLog,10/9/2017,8:14
FalseLog,10/9/2017,8:18
LuisLog,10/9/2017,8:22
BareLog,10/9/2017,8:26
CRLog,10/9/2017,8:38