Filename,Observer,Date,Clips_Total,Clips_Yes,Longest_Yes_Streak,Video_Length_(s),Notes,,
FirstLog_09_07_17_01.MP4,LT,9/7/2017,26,0,0,10733,,,
FirstLog_09_07_17_02.MP4,LT,9/7/2017,36,6,6,10580.5,,,
FirstLog_09_08_17_01.MP4,LT,9/8/2017,16,2,2,10755,,,
FirstLog_09_08_17_02.MP4,LT,9/8/2017,51,15,7,10757,,,
FirstLog_09_08_17_03.MP4,LT,9/8/2017,4,3,3,578,,,
LuisLog_09_08_17_01.MP4,LT,9/8/2017,20,0,0,10732,,,
LuisLog_09_08_17_02.MP4,LT,9/8/2017,10,1,1,5987,,,
FirstLog_09_09_17_01.MP4,LT,9/9/2017,14,8,8,10733,,,
FirstLog_09_09_17_02.MP4,LT,9/9/2017,2,2,2,8250.5,,,
LuisLog_09_09_17_01.MP4,LT,9/9/2017,20,0,0,10732,,,
LuisLog_09_09_17_02.MP4,LT,9/9/2017,10,0,0,5987,,,
LuisLog_09_09_17_03.MP4,LT,9/9/2017,40,27,27,10732,,,
LuisLog_09_09_17_04.MP4,LT,9/9/2017,1,0,0,6534.5,,,
CRLog_09_10_17_01.MP4,LT,9/10/2017,2,0,0,18,,,
CRLog_09_10_17_02.MP4,LT,9/10/2017,4,0,0,10738,,,
CRLog_09_10_17_03.MP4,LT,9/10/2017,1,0,0,1146,,,
FalseLog_09_10_17_01.MP4,LT,9/10/2017,6,0,0,4351.5,,,
FirstLog_09_10_17_01.MP4,LT,9/10/2017,4,1,1,10734,,,
FirstLog_09_10_17_02.MP4,LT,9/10/2017,6,0,0,6227.5,,,
LuisLog_09_10_17_01.MP4,LT,9/10/2017,0,0,0,223,,,
LuisLog_09_10_17_02.MP4,LT,9/10/2017,0,0,0,219,,,
LuisLog_09_10_17_03.MP4,LT,9/10/2017,4,0,0,11014,,,
LuisLog_09_10_17_04.MP4,LT,9/10/2017,4,0,0,2311,,,
CRLog_09_12_17_01.MP4,LT,9/12/2017,6,4,4,10738,,,
CRLog_09_12_17_02.MP4,LT,9/12/2017,1,1,1,10730,,,
CRLog_09_12_17_03.MP4,LT,9/12/2017,2,0,0,909,,,
FalseLog_09_12_17_01.MP4,LT,9/12/2017,252,9,5,10754,,,
FalseLog_09_12_17_02.MP4,LT,9/12/2017,116,11,9,10730,,,
FalseLog_09_12_17_03.MP4,LT,9/12/2017,8,2,1,1898,,,
FirstLog_09_12_17_01.MP4,LT,9/12/2017,22,8,8,6915.5,,,
FirstLog_09_12_17_02.MP4,LT,9/12/2017,34,31,16,8371.5,,,
LuisLog_09_12_17_01.MP4,LT,9/12/2017,13,1,1,10731,,,
LuisLog_09_12_17_02.MP4,LT,9/12/2017,9,6,6,10731,,,
LuisLog_09_12_17_03.MP4,LT,9/12/2017,1,0,0,201.5,,,
CRLog_09_13_17_01.MP4,LT,9/13/2017,2,0,0,10736,,,
CRLog_09_13_17_02.MP4,LT,9/13/2017,0,0,0,10731,,,
CRLog_09_13_17_03.MP4,LT,9/13/2017,1,0,0,2878.5,,,
FalseLog_09_13_17_01.MP4,LT,9/13/2017,22,5,3,10732,,,
FalseLog_09_13_17_02.MP4,LT,9/13/2017,11,1,1,10730,,,
FalseLog_09_13_17_03.MP4,LT,9/13/2017,1,0,0,3336,,,
FirstLog_09_13_17_01.MP4,LT,9/13/2017,51,48,35,10735,,,
FirstLog_09_13_17_02.MP4,LT,9/13/2017,30,24,15,10732,,,
FirstLog_09_13_17_03.MP4,LT,9/13/2017,10,6,3,3213.5,,,
LuisLog_09_13_17_01.MP4,LT,9/13/2017,22,20,20,10733,,,
LuisLog_09_13_17_02.MP4,LT,9/13/2017,4,3,3,10729,,,
LuisLog_09_13_17_03.MP4,LT,9/13/2017,1,0,0,3433.5,,,
CRLog_09_16_17_01.MP4,LT,9/16/2017,2,2,2,10732,,,
CRLog_09_16_17_02.MP4,LT,9/16/2017,9,9,9,10731,,,
CRLog_09_16_17_03.MP4,LT,9/16/2017,0,0,0,3987,,,
FalseLog_09_16_17_01.MP4,LT,9/16/2017,84,2,1,10732,,,
FalseLog_09_16_17_02.MP4,LT,9/16/2017,367,0,0,10732,,,
FalseLog_09_16_17_03.MP4,LT,9/16/2017,0,0,0,3922.5,,,
FirstLog_09_16_17_01.MP4,LT,9/16/2017,15,6,4,10733,,,
FirstLog_09_16_17_02.MP4,LT,9/16/2017,45,37,20,10731,,,
FirstLog_09_16_17_03.MP4,LT,9/16/2017,18,18,18,4529,,,
LuisLog_09_16_17_01.MP4,LT,9/16/2017,9,2,2,10730,,,
LuisLog_09_16_17_02.MP4,LT,9/16/2017,32,3,2,10731,,,
LuisLog_09_16_17_03.MP4,LT,9/16/2017,4,1,1,3928,,,
CRLog_09_17_17_01.MP4,LT,9/17/2017,4,0,0,10732,,,
CRLog_09_17_17_02.MP4,LT,9/17/2017,8,8,8,10730,,,
CRLog_09_17_17_03.MP4,LT,9/17/2017,3,0,0,3928.5,,,
FalseLog_09_17_17_01.MP4,LT,9/17/2017,28,0,0,10733,,,
FalseLog_09_17_17_02.MP4,LT,9/17/2017,14,5,5,10729,,,
FalseLog_09_17_17_03.MP4,LT,9/17/2017,7,0,0,3653,,,
FirstLog_09_17_17_01.MP4,LT,9/17/2017,15,7,3,10733,,,
FirstLog_09_17_17_02.MP4,LT,9/17/2017,36,35,35,10731,,,
FirstLog_09_17_17_03.MP4,LT,9/17/2017,4,0,0,3542.5,,,
LuisLog_09_17_17_01.MP4,LT,9/17/2017,26,3,3,10788,,,
LuisLog_09_17_17_02.MP4,LT,9/17/2017,30,8,8,10730,,,
LuisLog_09_17_17_03.MP4,LT,9/17/2017,7,0,0,3940,,,
BareLog_09_18_17_01.MP4,LT,9/18/2017,13,0,0,10932,,,
BareLog_09_18_17_02.MP4,LT,9/18/2017,106,100,100,8578.5,,,
CRLog_09_18_17_01.MP4,LT,9/18/2017,1,0,0,1,,,
CRLog_09_18_17_02.MP4,LT,9/18/2017,4,0,0,10732,,,
CRLog_09_18_17_03.MP4,LT,9/18/2017,24,5,5,10731,,,
CRLog_09_18_17_04.MP4,LT,9/18/2017,59,10,10,3924.5,,,
FalseLog_09_18_17_01.MP4,LT,9/18/2017,0,0,0,10732,,,
FalseLog_09_18_17_02.MP4,LT,9/18/2017,9,7,7,10731,,,
FalseLog_09_18_17_03.MP4,LT,9/18/2017,8,0,0,3925,,,
FirstLog_09_18_17_01.MP4,LT,9/18/2017,52,49,49,10732,,,
FirstLog_09_18_17_02.MP4,LT,9/18/2017,69,27,10,10731,,,
FirstLog_09_18_17_03.MP4,LT,9/18/2017,429,0,0,4528,,,
LuisLog_09_18_17_01.MP4,LT,9/18/2017,19,14,8,10731,,,
LuisLog_09_18_17_02.MP4,LT,9/18/2017,4,0,0,10731,,,
LuisLog_09_18_17_03.MP4,LT,9/18/2017,22,11,11,3926.5,,,
BareLog_09_19_17_01.MP4,LT,9/19/2017,5,1,1,10798,,,
BareLog_09_19_17_02.MP4,LT,9/19/2017,37,6,6,10738,,,
BareLog_09_19_17_03.MP4,LT,9/19/2017,7,0,0,3028,,,
CRLog_09_19_17_01.MP4,LT,9/19/2017,3,0,0,10735,,,
CRLog_09_19_17_02.MP4,LT,9/19/2017,5,2,2,10730,,,
CRLog_09_19_17_03.MP4,LT,9/19/2017,2,0,0,1064.5,,,
FalseLog_09_19_17_01.MP4,LT,9/19/2017,29,5,4,10759,,,
FalseLog_09_19_17_02.MP4,LT,9/19/2017,15,7,7,10731,,,
FalseLog_09_19_17_03.MP4,LT,9/19/2017,7,0,0,2705.5,,,
FirstLog_09_19_17_01.MP4,LT,9/19/2017,43,42,41,10744,,,
FirstLog_09_19_17_02.MP4,LT,9/19/2017,31,27,21,10742,,,
FirstLog_09_19_17_03.MP4,LT,9/19/2017,5,1,1,2629.5,,,
LuisLog_09_19_17_01.MP4,LT,9/19/2017,45,36,25,10740,,,
LuisLog_09_19_17_02.MP4,LT,9/19/2017,12,0,0,10730,,,
LuisLog_09_19_17_03.MP4,LT,9/19/2017,11,0,0,2929,,,
BareLog_09_20_17_01.MP4,LT,9/20/2017,37,24,22,10845,,,
BareLog_09_20_17_02.MP4,LT,9/20/2017,76,3,3,10730,,,
BareLog_09_20_17_03.MP4,LT,9/20/2017,13,4,4,3025.5,,,
CRLog_09_20_17_01.MP4,LT,9/20/2017,12,12,12,10744,,,
CRLog_09_20_17_02.MP4,LT,9/20/2017,4,0,0,10731,,,
CRLog_09_20_17_03.MP4,LT,9/20/2017,2,0,0,3299,,,
FalseLog_09_20_17_01.MP4,LT,9/20/2017,21,0,0,10732,,,
FalseLog_09_20_17_02.MP4,LT,9/20/2017,64,12,11,10731,,,
FalseLog_09_20_17_03.MP4,LT,9/20/2017,27,0,0,2890,,,
FirstLog_09_20_17_01.MP4,LT,9/20/2017,33,30,30,10733,,,
FirstLog_09_20_17_02.MP4,LT,9/20/2017,7,0,0,10739,,,
FirstLog_09_20_17_03.MP4,LT,9/20/2017,3,0,0,2811,,,
LuisLog_09_20_17_01.MP4,LT,9/20/2017,29,22,16,10757,,,
LuisLog_09_20_17_02.MP4,LT,9/20/2017,10,0,0,10730,,,
LuisLog_09_20_17_03.MP4,LT,9/20/2017,2,0,0,2973.5,,,
BareLog_09_21_17_01.MP4,LT,9/21/2017,NA,69,NA,10865,"Deleted metadata, restored by hand",,
BareLog_09_21_17_02.MP4,LT,9/21/2017,NA,76,NA,10824,"Deleted metadata, restored by hand",,
BareLog_09_21_17_03.MP4,LT,9/21/2017,0,0,0,3511,"Deleted metadata, restored by hand",,
CRLog_09_21_17_01.MP4,LT,9/21/2017,NA,5,NA,10733,"Deleted metadata, restored by hand",,
CRLog_09_21_17_02.MP4,LT,9/21/2017,0,0,0,10730,"Deleted metadata, restored by hand",,
CRLog_09_21_17_03.MP4,LT,9/21/2017,0,0,0,2244.5,"Deleted metadata, restored by hand",,
FalseLog_09_21_17_01.MP4,LT,9/21/2017,0,0,0,10732,"Deleted metadata, restored by hand",,
FalseLog_09_21_17_02.MP4,LT,9/21/2017,NA,8,NA,10731,"Deleted metadata, restored by hand",,
FalseLog_09_21_17_03.MP4,LT,9/21/2017,NA,8,NA,3984.5,"Deleted metadata, restored by hand",,
FirstLog_09_21_17_01.MP4,LT,9/21/2017,NA,46,NA,10748,"Deleted metadata, restored by hand",,
FirstLog_09_21_17_02.MP4,LT,9/21/2017,NA,28,NA,10753,"Deleted metadata, restored by hand",,
FirstLog_09_21_17_03.MP4,LT,9/21/2017,NA,9,NA,4497,"Deleted metadata, restored by hand",,
LuisLog_09_21_17_01.MP4,LT,9/21/2017,NA,29,NA,10732,"Deleted metadata, restored by hand",,
LuisLog_09_21_17_02.MP4,LT,9/21/2017,0,0,0,10730,"Deleted metadata, restored by hand",,
LuisLog_09_21_17_03.MP4,LT,9/21/2017,0,0,0,3926.5,"Deleted metadata, restored by hand",,
BareLog_09_22_17_01.MP4,LT,9/22/2017,40,0,0,10733,,,
BareLog_09_22_17_02.MP4,LT,9/22/2017,86,42,28,10735,,,
BareLog_09_22_17_03.MP4,LT,9/22/2017,2,0,0,890.5,,,
CRLog_09_22_17_01.MP4,LT,9/22/2017,3,0,0,10732,,,
CRLog_09_22_17_02.MP4,LT,9/22/2017,25,23,23,10702,,,
FalseLog_09_22_17_01.MP4,LT,9/22/2017,8,2,1,10733,,,
FalseLog_09_22_17_02.MP4,LT,9/22/2017,15,7,7,10731,,,
FalseLog_09_22_17_03.MP4,LT,9/22/2017,10,9,9,1575.5,,,
FirstLog_09_22_17_01.MP4,LT,9/22/2017,8,0,0,10734,,,
FirstLog_09_22_17_02.MP4,LT,9/22/2017,5,0,0,10733,,,
FirstLog_09_22_17_03.MP4,LT,9/22/2017,3,0,0,1976,,,
LuisLog_09_22_17_01.MP4,LT,9/22/2017,21,0,0,10732,,,
LuisLog_09_22_17_02.MP4,LT,9/22/2017,32,17,17,10731,,,
LuisLog_09_22_17_03.MP4,LT,9/22/2017,2,0,0,1244.5,,,
BareLog_09_23_17_01.MP4,LT,9/23/2017,21,4,4,10762,,,
BareLog_09_23_17_02.MP4,LT,9/23/2017,23,0,0,10731,,,
BareLog_09_23_17_03.MP4,LT,9/23/2017,19,1,1,3955.5,unk sp. at one motion,,
CRLog_09_23_17_01.MP4,LT,9/23/2017,11,10,10,10733,,,
CRLog_09_23_17_02.MP4,LT,9/23/2017,3,0,0,10731,,,
CRLog_09_23_17_03.MP4,LT,9/23/2017,0,0,0,3985,,,
FalseLog_09_23_17_01.MP4,LT,9/23/2017,19,8,8,10731,,,
FalseLog_09_23_17_02.MP4,LT,9/23/2017,19,5,5,10731,fly-bys,,
FalseLog_09_23_17_03.MP4,LT,9/23/2017,0,0,0,3926,,,
FirstLog_09_23_17_01.MP4,LT,9/23/2017,73,66,29,10737,incs cool antbirds,,
FirstLog_09_23_17_02.MP4,LT,9/23/2017,28,27,14,10731,antbirds until 36,,
FirstLog_09_23_17_03.MP4,LT,9/23/2017,6,0,0,4524,,,
LuisLog_09_23_17_01.MP4,LT,9/23/2017,5,0,0,10732,,,
LuisLog_09_23_17_02.MP4,LT,9/23/2017,4,0,0,10729,,,
LuisLog_09_23_17_03.MP4,LT,9/23/2017,3,0,0,3926.5,,,
BareLog_09_24_17_01.MP4,LT,9/24/2017,87,23,23,10874,,,
BareLog_09_24_17_02.MP4,LT,9/24/2017,45,0,0,8760,,,
CRLog_09_24_17_01.MP4,LT,9/24/2017,13,1,1,10734,,,
CRLog_09_24_17_02.MP4,LT,9/24/2017,4,0,0,9729.5,,,
FalseLog_09_24_17_01.MP4,LT,9/24/2017,105,4,3,10732,top left flybys,,
FalseLog_09_24_17_02.MP4,LT,9/24/2017,31,7,6,9813.5,top left flybys,,
FirstLog_09_24_17_01.MP4,LT,9/24/2017,50,42,20,10737,includes antbird,,
FirstLog_09_24_17_02.MP4,LT,9/24/2017,35,32,27,10156.5,,,
LuisLog_09_24_17_01.MP4,LT,9/24/2017,12,4,4,10732,,,
LuisLog_09_24_17_02.MP4,LT,9/24/2017,25,0,0,9461,,,
BareLog_09_25_17_01.MP4,LT,9/25/2017,38,27,27,10803,predef with def,,
BareLog_09_25_17_02.MP4,LT,9/25/2017,58,42,32,10733,lots of log eating and display,,
BareLog_09_25_17_03.MP4,LT,9/25/2017,26,21,21,3864.5,male dancing with female and predef visit,,
CRLog_09_25_17_01.MP4,LT,9/25/2017,0,0,0,10768,,,
CRLog_09_25_17_02.MP4,LT,9/25/2017,1,0,0,10731,,,
CRLog_09_25_17_03.MP4,LT,9/25/2017,0,0,0,3894.5,,,
FalseLog_09_25_17_01.MP4,LT,9/25/2017,21,7,7,10732,top left flybys,,
FalseLog_09_25_17_02.MP4,LT,9/25/2017,33,9,9,10730,flybys and new camera angle,,
FalseLog_09_25_17_03.MP4,LT,9/25/2017,0,0,0,4530,,,
FirstLog_09_25_17_01.MP4,LT,9/25/2017,16,12,7,10733,,,
FirstLog_09_25_17_02.MP4,LT,9/25/2017,74,73,62,10731,male dancing for female,,
